0.5 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.579 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.58 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.581 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.582 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.583 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.584 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.585 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.586 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.587 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.588 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.589 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.59 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.591 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.592 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.593 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.594 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.595 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.596 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.597 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.598 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.599 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.6 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.601 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.602 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.603 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.604 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.605 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.606 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.607 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.608 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.609 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.61 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.611 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.612 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.613 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.614 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.615 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.616 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.617 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.618 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.619 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.62 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.621 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.622 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.623 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.624 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.625 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.626 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.627 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.628 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.629 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.63 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.631 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.632 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.633 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.634 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.635 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.636 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.637 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.638 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.639 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.64 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.641 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.642 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.643 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.644 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.645 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.646 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.647 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.648 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.649 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.65 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.651 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.652 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.653 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.654 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.655 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.656 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.657 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.658 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.659 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.66 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.661 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.662 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.663 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.664 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.665 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.666 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.667 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.668 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.669 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.67 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.671 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.672 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.673 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.674 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.675 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.676 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.677 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.678 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.679 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.68 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.681 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.682 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.683 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.684 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.685 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.686 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.687 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.688 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.689 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.69 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.691 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.692 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.693 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.694 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.695 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.696 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.697 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.698 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.699 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.7 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.701 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.702 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.703 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.704 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.705 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.706 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.707 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.708 No. of Outliers: 105, Clusters : 0, Silhoutte -2
0.709 No. of Outliers: 102, Clusters : 1, Silhoutte -2
0.71 No. of Outliers: 102, Clusters : 1, Silhoutte -2
0.711 No. of Outliers: 102, Clusters : 1, Silhoutte -2
0.712 No. of Outliers: 102, Clusters : 1, Silhoutte -2
0.713 No. of Outliers: 102, Clusters : 1, Silhoutte -2
0.714 No. of Outliers: 102, Clusters : 1, Silhoutte -2
0.715 No. of Outliers: 102, Clusters : 1, Silhoutte -2
0.716 No. of Outliers: 102, Clusters : 1, Silhoutte -2
0.717 No. of Outliers: 102, Clusters : 1, Silhoutte -2
0.718 No. of Outliers: 102, Clusters : 1, Silhoutte -2
0.719 No. of Outliers: 102, Clusters : 1, Silhoutte -2
0.72 No. of Outliers: 102, Clusters : 1, Silhoutte -2
0.721 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.722 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.723 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.724 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.725 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.726 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.727 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.728 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.729 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.73 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.731 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.732 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.733 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.734 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.735 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.736 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.737 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.738 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.739 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.74 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.741 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.742 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.743 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.744 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.745 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.746 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.747 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.748 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.749 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.75 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.751 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.752 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.753 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.754 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.755 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.756 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.757 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.758 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.759 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.76 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.761 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.762 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.763 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.764 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.765 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.766 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.767 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.768 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.769 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.77 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.771 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.772 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.773 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.774 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.775 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.776 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.777 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.778 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.779 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.78 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.781 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.782 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.783 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.784 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.785 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.786 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.787 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.788 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.789 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.79 No. of Outliers: 101, Clusters : 1, Silhoutte -2
0.791 No. of Outliers: 98, Clusters : 2, Silhoutte -0.08240000158548355
0.792 No. of Outliers: 98, Clusters : 2, Silhoutte -0.08240000158548355
0.793 No. of Outliers: 98, Clusters : 2, Silhoutte -0.08240000158548355
0.794 No. of Outliers: 98, Clusters : 2, Silhoutte -0.08240000158548355
0.795 No. of Outliers: 98, Clusters : 2, Silhoutte -0.08240000158548355
0.796 No. of Outliers: 98, Clusters : 2, Silhoutte -0.08240000158548355
0.797 No. of Outliers: 98, Clusters : 2, Silhoutte -0.08240000158548355
0.798 No. of Outliers: 98, Clusters : 2, Silhoutte -0.08240000158548355
0.799 No. of Outliers: 98, Clusters : 2, Silhoutte -0.08240000158548355
0.8 No. of Outliers: 98, Clusters : 2, Silhoutte -0.08240000158548355
0.801 No. of Outliers: 98, Clusters : 2, Silhoutte -0.08240000158548355
0.802 No. of Outliers: 98, Clusters : 2, Silhoutte -0.08240000158548355
0.803 No. of Outliers: 97, Clusters : 2, Silhoutte -0.07270000129938126
0.804 No. of Outliers: 97, Clusters : 2, Silhoutte -0.07270000129938126
0.805 No. of Outliers: 97, Clusters : 2, Silhoutte -0.07270000129938126
0.806 No. of Outliers: 97, Clusters : 2, Silhoutte -0.07270000129938126
0.807 No. of Outliers: 97, Clusters : 2, Silhoutte -0.07270000129938126
0.808 No. of Outliers: 97, Clusters : 2, Silhoutte -0.07270000129938126
0.809 No. of Outliers: 97, Clusters : 2, Silhoutte -0.07270000129938126
0.81 No. of Outliers: 97, Clusters : 2, Silhoutte -0.07270000129938126
0.811 No. of Outliers: 97, Clusters : 2, Silhoutte -0.07270000129938126
0.812 No. of Outliers: 97, Clusters : 2, Silhoutte -0.07270000129938126
0.813 No. of Outliers: 97, Clusters : 2, Silhoutte -0.07270000129938126
0.814 No. of Outliers: 97, Clusters : 2, Silhoutte -0.07270000129938126
0.815 No. of Outliers: 97, Clusters : 2, Silhoutte -0.07270000129938126
0.816 No. of Outliers: 97, Clusters : 2, Silhoutte -0.07270000129938126
0.817 No. of Outliers: 97, Clusters : 2, Silhoutte -0.07270000129938126
0.818 No. of Outliers: 97, Clusters : 2, Silhoutte -0.07270000129938126
0.819 No. of Outliers: 97, Clusters : 2, Silhoutte -0.07270000129938126
0.82 No. of Outliers: 97, Clusters : 2, Silhoutte -0.07270000129938126
0.821 No. of Outliers: 97, Clusters : 2, Silhoutte -0.07270000129938126
0.822 No. of Outliers: 97, Clusters : 2, Silhoutte -0.07270000129938126
0.823 No. of Outliers: 97, Clusters : 2, Silhoutte -0.07270000129938126
0.824 No. of Outliers: 94, Clusters : 3, Silhoutte -0.16670000553131104
0.825 No. of Outliers: 94, Clusters : 3, Silhoutte -0.16670000553131104
0.826 No. of Outliers: 91, Clusters : 4, Silhoutte -0.19619999825954437
0.827 No. of Outliers: 91, Clusters : 4, Silhoutte -0.19619999825954437
0.828 No. of Outliers: 91, Clusters : 4, Silhoutte -0.19619999825954437
0.829 No. of Outliers: 91, Clusters : 4, Silhoutte -0.19619999825954437
0.83 No. of Outliers: 91, Clusters : 4, Silhoutte -0.19619999825954437
0.831 No. of Outliers: 91, Clusters : 4, Silhoutte -0.19619999825954437
0.832 No. of Outliers: 91, Clusters : 4, Silhoutte -0.19619999825954437
0.833 No. of Outliers: 88, Clusters : 5, Silhoutte -0.20010000467300415
0.834 No. of Outliers: 88, Clusters : 5, Silhoutte -0.20010000467300415
0.835 No. of Outliers: 88, Clusters : 5, Silhoutte -0.20010000467300415
0.836 No. of Outliers: 85, Clusters : 6, Silhoutte -0.22939999401569366
0.837 No. of Outliers: 85, Clusters : 6, Silhoutte -0.22939999401569366
0.838 No. of Outliers: 85, Clusters : 6, Silhoutte -0.22939999401569366
0.839 No. of Outliers: 85, Clusters : 6, Silhoutte -0.22939999401569366
0.84 No. of Outliers: 85, Clusters : 6, Silhoutte -0.22939999401569366
0.841 No. of Outliers: 85, Clusters : 6, Silhoutte -0.22939999401569366
0.842 No. of Outliers: 85, Clusters : 6, Silhoutte -0.22939999401569366
0.843 No. of Outliers: 85, Clusters : 6, Silhoutte -0.22939999401569366
0.844 No. of Outliers: 85, Clusters : 6, Silhoutte -0.22939999401569366
0.845 No. of Outliers: 85, Clusters : 6, Silhoutte -0.22939999401569366
0.846 No. of Outliers: 85, Clusters : 6, Silhoutte -0.22939999401569366
0.847 No. of Outliers: 85, Clusters : 6, Silhoutte -0.22939999401569366
0.848 No. of Outliers: 85, Clusters : 6, Silhoutte -0.22939999401569366
0.849 No. of Outliers: 85, Clusters : 6, Silhoutte -0.22939999401569366
0.85 No. of Outliers: 83, Clusters : 6, Silhoutte -0.21950000524520874
0.851 No. of Outliers: 83, Clusters : 6, Silhoutte -0.21950000524520874
0.852 No. of Outliers: 83, Clusters : 6, Silhoutte -0.21950000524520874
0.853 No. of Outliers: 83, Clusters : 6, Silhoutte -0.21950000524520874
0.854 No. of Outliers: 83, Clusters : 6, Silhoutte -0.21950000524520874
0.855 No. of Outliers: 83, Clusters : 6, Silhoutte -0.21950000524520874
0.856 No. of Outliers: 83, Clusters : 6, Silhoutte -0.21950000524520874
0.857 No. of Outliers: 83, Clusters : 6, Silhoutte -0.21950000524520874
0.858 No. of Outliers: 82, Clusters : 6, Silhoutte -0.20960000157356262
0.859 No. of Outliers: 82, Clusters : 6, Silhoutte -0.20960000157356262
0.86 No. of Outliers: 82, Clusters : 6, Silhoutte -0.20960000157356262
0.861 No. of Outliers: 82, Clusters : 6, Silhoutte -0.20960000157356262
0.862 No. of Outliers: 82, Clusters : 6, Silhoutte -0.20960000157356262
0.863 No. of Outliers: 82, Clusters : 6, Silhoutte -0.20960000157356262
0.864 No. of Outliers: 82, Clusters : 6, Silhoutte -0.20960000157356262
0.865 No. of Outliers: 82, Clusters : 6, Silhoutte -0.20960000157356262
0.866 No. of Outliers: 82, Clusters : 6, Silhoutte -0.20960000157356262
0.867 No. of Outliers: 82, Clusters : 6, Silhoutte -0.20960000157356262
0.868 No. of Outliers: 82, Clusters : 6, Silhoutte -0.20960000157356262
0.869 No. of Outliers: 80, Clusters : 6, Silhoutte -0.20739999413490295
0.87 No. of Outliers: 80, Clusters : 6, Silhoutte -0.20739999413490295
0.871 No. of Outliers: 80, Clusters : 6, Silhoutte -0.20739999413490295
0.872 No. of Outliers: 78, Clusters : 6, Silhoutte -0.19359999895095825
0.873 No. of Outliers: 77, Clusters : 6, Silhoutte -0.18719999492168427
0.874 No. of Outliers: 77, Clusters : 6, Silhoutte -0.18719999492168427
0.875 No. of Outliers: 77, Clusters : 6, Silhoutte -0.18719999492168427
0.876 No. of Outliers: 77, Clusters : 6, Silhoutte -0.18719999492168427
0.877 No. of Outliers: 77, Clusters : 6, Silhoutte -0.18719999492168427
0.878 No. of Outliers: 77, Clusters : 6, Silhoutte -0.18719999492168427
0.879 No. of Outliers: 77, Clusters : 6, Silhoutte -0.18719999492168427
0.88 No. of Outliers: 77, Clusters : 6, Silhoutte -0.18719999492168427
0.881 No. of Outliers: 77, Clusters : 6, Silhoutte -0.18719999492168427
0.882 No. of Outliers: 77, Clusters : 6, Silhoutte -0.18719999492168427
0.883 No. of Outliers: 77, Clusters : 6, Silhoutte -0.18719999492168427
0.884 No. of Outliers: 77, Clusters : 6, Silhoutte -0.18719999492168427
0.885 No. of Outliers: 77, Clusters : 6, Silhoutte -0.18719999492168427
0.886 No. of Outliers: 77, Clusters : 6, Silhoutte -0.18719999492168427
0.887 No. of Outliers: 77, Clusters : 6, Silhoutte -0.18719999492168427
0.888 No. of Outliers: 77, Clusters : 6, Silhoutte -0.18719999492168427
0.889 No. of Outliers: 77, Clusters : 6, Silhoutte -0.18719999492168427
0.89 No. of Outliers: 77, Clusters : 6, Silhoutte -0.18719999492168427
0.891 No. of Outliers: 77, Clusters : 6, Silhoutte -0.18719999492168427
0.892 No. of Outliers: 77, Clusters : 6, Silhoutte -0.18719999492168427
0.893 No. of Outliers: 77, Clusters : 6, Silhoutte -0.18719999492168427
0.894 No. of Outliers: 77, Clusters : 6, Silhoutte -0.18719999492168427
0.895 No. of Outliers: 77, Clusters : 6, Silhoutte -0.18719999492168427
0.896 No. of Outliers: 73, Clusters : 7, Silhoutte -0.19470000267028809
0.897 No. of Outliers: 73, Clusters : 7, Silhoutte -0.19470000267028809
0.898 No. of Outliers: 73, Clusters : 7, Silhoutte -0.19470000267028809
0.899 No. of Outliers: 73, Clusters : 7, Silhoutte -0.19470000267028809
0.9 No. of Outliers: 73, Clusters : 6, Silhoutte -0.16920000314712524
0.901 No. of Outliers: 73, Clusters : 6, Silhoutte -0.16920000314712524
0.902 No. of Outliers: 68, Clusters : 7, Silhoutte -0.14509999752044678
0.903 No. of Outliers: 68, Clusters : 7, Silhoutte -0.14509999752044678
0.904 No. of Outliers: 68, Clusters : 7, Silhoutte -0.14509999752044678
0.905 No. of Outliers: 68, Clusters : 7, Silhoutte -0.14509999752044678
0.906 No. of Outliers: 68, Clusters : 7, Silhoutte -0.14509999752044678
0.907 No. of Outliers: 68, Clusters : 7, Silhoutte -0.14509999752044678
0.908 No. of Outliers: 68, Clusters : 7, Silhoutte -0.14509999752044678
0.909 No. of Outliers: 68, Clusters : 7, Silhoutte -0.14509999752044678
